2016-12-13 14:03:48.062 +02:00 [Information] Version 1.9
2016-12-13 14:03:48.398 +02:00 [Verbose] Date: 1937/09/01 08:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/15 08:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/15 14:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/16 08:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/16 14:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/17 08:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/17 14:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/18 08:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/18 14:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/19 08:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/19 14:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/20 08:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/20 14:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/21 08:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/21 14:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/22 08:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/22 14:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/23 08:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/23 14:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/24 08:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/24 14:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/25 08:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/25 14:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/26 08:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/26 14:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/27 08:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/27 14:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/28 08:00; Rainfall: 
2016-12-13 14:03:48.696 +02:00 [Verbose] Date: 1944/04/28 14:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/04/29 08:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/04/29 14:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/04/30 08:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/04/30 14:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/01 08:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/01 14:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/02 08:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/02 14:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/03 08:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/03 14:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/04 08:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/04 14:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/05 08:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/05 14:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/06 08:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/06 14:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/07 08:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/07 14:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/08 08:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/08 14:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/09 08:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/09 14:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/10 08:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/10 14:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/11 08:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/11 14:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/12 08:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/12 14:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/13 08:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/13 14:00; Rainfall: 24.638
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/14 08:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/14 14:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/15 08:00; Rainfall: 
2016-12-13 14:03:48.697 +02:00 [Verbose] Date: 1944/05/15 14:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/16 08:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/16 14:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/17 08:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/17 14:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/18 08:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/18 14:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/19 08:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/19 14:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/20 08:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/20 14:00; Rainfall: 23.368
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/21 08:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/21 14:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/22 08:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/22 14:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/23 08:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/23 14:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/24 08:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/24 14:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/25 08:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/25 14:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/26 08:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/26 14:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/27 08:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/27 14:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/28 08:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/28 14:00; Rainfall: 157.226
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/29 08:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/29 14:00; Rainfall: 94.234
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/30 08:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/30 14:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/31 08:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/05/31 14:00; Rainfall: 
2016-12-13 14:03:48.698 +02:00 [Verbose] Date: 1944/06/01 08:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/01 14:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/02 08:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/02 14:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/03 08:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/03 14:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/04 08:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/04 14:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/05 08:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/05 14:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/06 08:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/06 14:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/07 08:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/07 14:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/08 08:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/08 14:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/09 08:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/09 14:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/10 08:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/10 14:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/11 08:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/11 14:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/12 08:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/12 14:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/13 08:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/13 14:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/14 08:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/14 14:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/15 08:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/15 14:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/16 08:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/16 14:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/17 08:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/17 14:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/18 08:00; Rainfall: 
2016-12-13 14:03:48.699 +02:00 [Verbose] Date: 1944/06/18 14:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/19 08:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/19 14:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/20 08:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/20 14:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/21 08:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/21 14:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/22 08:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/22 14:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/23 08:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/23 14:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/24 08:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/24 14:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/25 08:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/25 14:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/26 08:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/26 14:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/27 08:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/27 14:00; Rainfall: 17.78
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/28 08:00; Rainfall: 2.032
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/28 14:00; Rainfall: 6.604
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/29 08:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/29 14:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/30 08:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/06/30 14:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/07/01 08:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/07/01 14:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/07/02 08:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/07/02 14:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/07/03 08:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/07/03 14:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/07/04 08:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/07/04 14:00; Rainfall: 
2016-12-13 14:03:48.700 +02:00 [Verbose] Date: 1944/07/05 08:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/05 14:00; Rainfall: 7.62
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/06 08:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/06 14:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/07 08:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/07 14:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/08 08:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/08 14:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/09 08:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/09 14:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/10 08:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/10 14:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/11 08:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/11 14:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/12 08:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/12 14:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/13 08:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/13 14:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/14 08:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/14 14:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/15 08:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/15 14:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/16 08:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/16 14:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/17 08:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/17 14:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/18 08:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/18 14:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/19 08:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/19 14:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/20 08:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/20 14:00; Rainfall: 7.112
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/21 08:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/21 14:00; Rainfall: 
2016-12-13 14:03:48.701 +02:00 [Verbose] Date: 1944/07/22 08:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/07/22 14:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/07/23 08:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/07/23 14:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/07/24 08:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/07/24 14:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/07/25 08:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/07/25 14:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/07/26 08:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/07/26 14:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/07/27 08:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/07/27 14:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/07/28 08:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/07/28 14:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/07/29 08:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/07/29 14:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/07/30 08:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/07/30 14:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/07/31 08:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/07/31 14:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/08/01 08:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/08/01 14:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/08/02 08:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/08/02 14:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/08/03 08:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/08/03 14:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/08/04 08:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/08/04 14:00; Rainfall: 
2016-12-13 14:03:48.702 +02:00 [Verbose] Date: 1944/08/05 08:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/05 14:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/06 08:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/06 14:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/07 08:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/07 14:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/08 08:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/08 14:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/09 08:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/09 14:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/10 08:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/10 14:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/11 08:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/11 14:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/12 08:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/12 14:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/13 08:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/13 14:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/14 08:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/14 14:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/15 08:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/15 14:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/16 08:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/16 14:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/17 08:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/17 14:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/18 08:00; Rainfall: 
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/18 14:00; Rainfall: 2.54
2016-12-13 14:03:48.703 +02:00 [Verbose] Date: 1944/08/19 08:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/19 14:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/20 08:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/20 14:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/21 08:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/21 14:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/22 08:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/22 14:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/23 08:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/23 14:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/24 08:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/24 14:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/25 08:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/25 14:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/26 08:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/26 14:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/27 08:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/27 14:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/28 08:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/28 14:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/29 08:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/29 14:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/30 08:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/30 14:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/31 08:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/08/31 14:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/09/01 08:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/09/01 14:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/09/02 08:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/09/02 14:00; Rainfall: 
2016-12-13 14:03:48.704 +02:00 [Verbose] Date: 1944/09/03 08:00; Rainfall: 
